sNo,Company Name,Full Company Name,sc Performance,sc Valuation,sc Growth,sc Profitability,sc Entry Point,sc Red Flags,Income Statements,2019 Total Revenue,2019 EBITDA,2019 Net Income,2019 PBT,2020 Total Revenue,2020 EBITDA,2020 Net Income,2020 PBT,2021 Total Revenue,2021 EBITDA,2021 Net Income,2021 PBT,2022 Total Revenue,2022 EBITDA,2022 Net Income,2022 PBT,PE Ratio,Entry_point_Sentiment,Growth_Sentiment,Profitability_Sentiment,RedFlag_Sentiment,Performance_Sentiment,Valuation_Sentiment,Sentiment,News Sentiment Score
1.0,ABFRL,Aditya Birla Fashion and Retail Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 4.41%, vs industry avg of 4.31%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 49.87% to 50.1%",0.02832794989769741,0.2874466257496268,0.8520873508332988,0.7279658976548576,0.027286133613494263,0.3898740364636119,1.3020175374297571,1.0704073550947548,0.015125956658526368,0.09397628311594793,0.9331635981152748,0.8708042168433046,0.022736597645911873,0.051098730734985526,0.632637514839731,0.49991359372677996,0.25871014641189677,1.0,0.0,2.0,2.0,0.0,0.0,0.8333333333333334,0.9799826527662036
2.0,AFFLE,Affle (India) Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, High Strong financials and growth story over the years, High Showing good signs of profitability & efficiency,BadThe stock is overpriced and in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 76.78%, vs industry avg of 17.03%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 2.07% to 16.28%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 267.29%, vs industry avg of 20.48%",0.000864777098068541,0.27654974847310343,0.8441240952357426,0.7259034979384664,0.0010475060013846237,0.36938871691695047,1.3060540253161426,1.0723504588268935,0.0015858279501153095,0.08498031336020163,0.9504581672666665,0.8905698675416992,0.0031827500214144486,0.036445414867220596,0.639891445119977,0.5068499440717377,0.5473271897459213,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.9799826527662036
3.0,AARTIDRUGS,Aarti Drugs Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 15.83%, vs industry avg of 7.66%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 0.62% to 0.84%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 20.18%, vs industry avg of 4.09%",0.005425395275732302,0.27927457277098605,0.8453206299332755,0.7275483367716286,0.005584849426983828,0.37234974838155915,1.307394457931982,1.0741887125984593,0.0061459927420804035,0.09007063961253906,0.953577239342724,0.895004332373258,0.0068989019465513024,0.03735784025129595,0.6396922329747815,0.5072975481441339,0.5328233939281904,2.0,0.0,2.0,2.0,1.0,0.0,1.1666666666666667,0.9799826527662036
4.0,AARTIIND,Aarti Industries Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 17.2%, vs industry avg of 8.74%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 6.74% to 8.43%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 32.86%, vs industry avg of 15.42%",0.01443543166152557,0.2932374823613791,0.857071986339684,0.7388869161754611,0.012929781392028434,0.3842729507465139,1.314365449373455,1.0826959437796244,0.012808260583476123,0.10005189375021778,0.9587841188674939,0.9009320619689835,0.01931925454758997,0.06163748125271305,0.6644734593661187,0.5296660054940507,0.5365505147273731,1.0,0.0,2.0,2.0,0.0,0.0,0.8333333333333334,1.9985714042755829
5.0,ACC,ACC Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 5.63%, vs industry avg of 13.46%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 7.94% to 6.42%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of -6.82%, vs industry avg of 19.17%",0.05535764361309888,0.3263352183540501,0.8829636758317677,0.7719257282055102,0.043185004455529655,0.40793918115777017,1.3301577909444406,1.100592705562247,0.04652338910076366,0.1405531771565291,0.9874795819672217,0.9378741686255948,0.048723582959573936,0.05655781820241941,0.6496843184516315,0.5179989339370203,0.5550012615254716,1.0,0.0,2.0,2.0,0.0,0.0,0.8333333333333334,1.9603734757393834
6.0,ADANIGREEN,Adani Green Energy Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Avg The stock has a moderate number of red flags,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 57.51%, vs industry avg of 4.03%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 2.76% to 21.73%",0.0073775225117621995,0.30498858963537373,0.8288421867789786,0.7110193462562423,0.008102784234090022,0.3901591456400734,1.3044905110829879,1.0701108290079113,0.010245357993128477,0.13070999663178434,0.952068902358691,0.8914740498864758,0.015569628748521962,0.09362963552747727,0.6460769147749758,0.5123349181898997,0.603174048047883,1.0,0.0,2.0,1.0,0.0,0.0,0.6666666666666666,1.6298916648242319
7.0,ADANITRANS,Adani Transmission Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Avg The stock has a moderate number of red flags,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 34.05%, vs industry avg of 3.79%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 6.24% to 25.11%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 23.67%, vs industry avg of -17.27%",0.026507413908305032,0.33318897609580034,0.8590443830179774,0.7439279014620983,0.03600265212850264,0.4432136425324835,1.3179994012298633,1.0901567550236995,0.0313804657883624,0.17593737441782137,0.9737918683477378,0.9200937878581229,0.03461618022753183,0.11619283273706946,0.6621670054322409,0.5327572321872711,0.5565850380581001,1.0,0.0,2.0,1.0,0.0,0.0,0.6666666666666666,1.1456997567985852
8.0,ABCAPITAL,Aditya Birla Capital Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 30.86%, vs industry avg of 8.8%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 7.76% to 19.31%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 26.34%, vs industry avg of -17.94%",0.053307472070181994,0.30201153573483835,0.8681576917550632,0.7564087685475961,0.05227272849855393,0.3908815111954149,1.3211426795051933,1.0931559838132456,0.05553862205817903,0.11264967072788303,0.9717032040110922,0.9186053368420208,0.06231783920707375,0.06897210128090193,0.6734398046551787,0.5431905894580786,0.5241151210689742,1.0,1.0,2.0,2.0,1.0,0.0,1.1666666666666667,0.9799826527662036
9.0,ADANIPORTS,Adani Ports and Special Economic Zone Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 14.04%, vs industry avg of 13.24%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 92.64% to 95.93%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 3.86%, vs industry avg of 3.27%",0.042540496937846416,0.4220086057762068,0.9593457384523658,0.8429133878726047,0.04275434563429367,0.4991953047907184,1.3713643039385475,1.144526918710952,0.04126514739233472,0.27979679206494845,1.0545591258029305,1.0138036231477099,0.050449957303563275,0.19778561907962786,0.7413904827859122,0.6011110903475027,0.5346719659063374,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.9790812768924642
10.0,ABB,ABB India Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 7.38%, vs industry avg of -2.27%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 10.97% to 15.94%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 19.33%, vs industry avg of 38.99%",0.02565541165107028,0.2857277415054235,0.8515664065794499,0.7348036880695489,0.018465872337999213,0.3751301050432961,1.308768803192734,1.076057814788177,0.020504812234702425,0.09727648404743378,0.9587035714017935,0.9018735508612599,0.025074387612999852,0.05465380584279918,0.6579313864805555,0.5265801180144176,0.5692252734762396,1.0,1.0,2.0,2.0,1.0,0.0,1.1666666666666667,1.9907141277912888
