sNo,Company Name,Full Company Name,sc Performance,sc Valuation,sc Growth,sc Profitability,sc Entry Point,sc Red Flags,Income Statements,2019 Total Revenue,2019 EBITDA,2019 Net Income,2019 PBT,2020 Total Revenue,2020 EBITDA,2020 Net Income,2020 PBT,2021 Total Revenue,2021 EBITDA,2021 Net Income,2021 PBT,2022 Total Revenue,2022 EBITDA,2022 Net Income,2022 PBT,PE Ratio,Entry_point_Sentiment,Growth_Sentiment,Profitability_Sentiment,RedFlag_Sentiment,Performance_Sentiment,Valuation_Sentiment,Sentiment,News Sentiment Score,Avg Sentiment,Final_Sentiment
1,ABFRL,Aditya Birla Fashion and Retail Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 4.41%, vs industry avg of 4.31%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 49.87% to 50.1%",0.02832795,0.287446626,0.852087351,0.727965898,0.027286134,0.389874036,1.302017537,1.070407355,0.015125957,0.093976283,0.933163598,0.870804217,0.022736598,0.051098731,0.632637515,0.499913594,0.258710146,1,0,2,2,0,0,0.833333333,0.979982653,0.935987857,1
2,AFFLE,Affle (India) Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, High Strong financials and growth story over the years, High Showing good signs of profitability & efficiency,BadThe stock is overpriced and in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 76.78%, vs industry avg of 17.03%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 2.07% to 16.28%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 267.29%, vs industry avg of 20.48%",0.000864777,0.276549748,0.844124095,0.725903498,0.001047506,0.369388717,1.306054025,1.072350459,0.001585828,0.084980313,0.950458167,0.890569868,0.00318275,0.036445415,0.639891445,0.506849944,0.54732719,0,2,2,2,0,0,1,0.979982653,0.985987857,2
3,AARTIDRUGS,Aarti Drugs Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 15.83%, vs industry avg of 7.66%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 0.62% to 0.84%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 20.18%, vs industry avg of 4.09%",0.005425395,0.279274573,0.84532063,0.727548337,0.005584849,0.372349748,1.307394458,1.074188713,0.006145993,0.09007064,0.953577239,0.895004332,0.006898902,0.03735784,0.639692233,0.507297548,0.532823394,2,0,2,2,1,0,1.166666667,0.979982653,1.035987857,2
4,AARTIIND,Aarti Industries Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 17.2%, vs industry avg of 8.74%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 6.74% to 8.43%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 32.86%, vs industry avg of 15.42%",0.014435432,0.293237482,0.857071986,0.738886916,0.012929781,0.384272951,1.314365449,1.082695944,0.012808261,0.100051894,0.958784119,0.900932062,0.019319255,0.061637481,0.664473459,0.529666005,0.536550515,1,0,2,2,0,0,0.833333333,1.998571404,1.648999983,4
5,ACC,ACC Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 5.63%, vs industry avg of 13.46%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 7.94% to 6.42%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of -6.82%, vs industry avg of 19.17%",0.055357644,0.326335218,0.882963676,0.771925728,0.043185004,0.407939181,1.330157791,1.100592706,0.046523389,0.140553177,0.987479582,0.937874169,0.048723583,0.056557818,0.649684318,0.517998934,0.555001262,1,0,2,2,0,0,0.833333333,1.960373476,1.622261433,4
6,ADANIGREEN,Adani Green Energy Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Avg The stock has a moderate number of red flags,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 57.51%, vs industry avg of 4.03%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 2.76% to 21.73%",0.007377523,0.30498859,0.828842187,0.711019346,0.008102784,0.390159146,1.304490511,1.070110829,0.010245358,0.130709997,0.952068902,0.89147405,0.015569629,0.093629636,0.646076915,0.512334918,0.603174048,1,0,2,1,0,0,0.666666667,1.629891665,1.340924165,3
7,ADANITRANS,Adani Transmission Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Avg The stock has a moderate number of red flags,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 34.05%, vs industry avg of 3.79%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 6.24% to 25.11%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 23.67%, vs industry avg of -17.27%",0.026507414,0.333188976,0.859044383,0.743927901,0.036002652,0.443213643,1.317999401,1.090156755,0.031380466,0.175937374,0.973791868,0.920093788,0.03461618,0.116192833,0.662167005,0.532757232,0.556585038,1,0,2,1,0,0,0.666666667,1.145699757,1.00198983,2
8,ABCAPITAL,Aditya Birla Capital Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 30.86%, vs industry avg of 8.8%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 7.76% to 19.31%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 26.34%, vs industry avg of -17.94%",0.053307472,0.302011536,0.868157692,0.756408769,0.052272728,0.390881511,1.32114268,1.093155984,0.055538622,0.112649671,0.971703204,0.918605337,0.062317839,0.068972101,0.673439805,0.543190589,0.524115121,1,1,2,2,1,0,1.166666667,0.979982653,1.035987857,2
9,ADANIPORTS,Adani Ports and Special Economic Zone Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 14.04%, vs industry avg of 13.24%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 92.64% to 95.93%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 3.86%, vs industry avg of 3.27%",0.042540497,0.422008606,0.959345738,0.842913388,0.042754346,0.499195305,1.371364304,1.144526919,0.041265147,0.279796792,1.054559126,1.013803623,0.050449957,0.197785619,0.741390483,0.60111109,0.534671966,1,0,2,2,1,0,1,1.979081277,1.685356894,4
10,ABB,ABB India Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 7.38%, vs industry avg of -2.27%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 10.97% to 15.94%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 19.33%, vs industry avg of 38.99%",0.025655412,0.285727742,0.851566407,0.734803688,0.018465872,0.375130105,1.308768803,1.076057815,0.020504812,0.097276484,0.958703571,0.901873551,0.025074388,0.054653806,0.657931386,0.526580118,0.569225273,1,1,2,2,1,0,1.166666667,1.990714128,1.743499889,4
