sNo,Company Name,Full Company Name,sc Performance,sc Valuation,sc Growth,sc Profitability,sc Entry Point,sc Red Flags,Income Statements,2019 Total Revenue,2019 EBITDA,2019 Net Income,2019 PBT,2020 Total Revenue,2020 EBITDA,2020 Net Income,2020 PBT,2021 Total Revenue,2021 EBITDA,2021 Net Income,2021 PBT,2022 Total Revenue,2022 EBITDA,2022 Net Income,2022 PBT,PE Ratio,Entry_point_Sentiment,Growth_Sentiment,Profitability_Sentiment,RedFlag_Sentiment,Performance_Sentiment,Valuation_Sentiment,Sentiment,News Sentiment Score,Avg Sentiment,Final_Sentiment
1,ABFRL,Aditya Birla Fashion and Retail Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 4.41%, vs industry avg of 4.31%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 49.87% to 50.1%",0.02832795,0.287446626,0.852087351,0.727965898,0.027286134,0.389874036,1.302017537,1.070407355,0.012581323,0.093976283,0.933163598,0.870804217,0.022736598,0.051098731,0.632637515,0.499913594,0,1,0,2,2,0,0,0.833333333,0.99441678,0.946091746,0
2,ACC,ACC Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 5.63%, vs industry avg of 13.46%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 7.94% to 6.42%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of -6.82%, vs industry avg of 19.17%",0.055357644,0.326335218,0.882963676,0.771925728,0.043185004,0.407939181,1.330157791,1.100592706,0.044019007,0.140553177,0.987479582,0.937874169,0.048723583,0.056557818,0.649684318,0.517998934,0.55917483,1,0,2,2,0,0,0.833333333,0.480794058,0.586555841,0
3,ADANIGREEN,Adani Green Energy Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Avg The stock has a moderate number of red flags,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 57.51%, vs industry avg of 4.03%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 2.76% to 21.73%",0.007377523,0.30498859,0.828842187,0.711019346,0.008102784,0.390159146,1.304490511,1.070110829,0.007694467,0.130709997,0.952068902,0.89147405,0.015569629,0.093629636,0.646076915,0.512334918,0.650741051,1,0,2,1,0,0,0.666666667,0.99441678,0.896091746,0
4,ADANITRANS,Adani Transmission Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Avg The stock has a moderate number of red flags,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 34.05%, vs industry avg of 3.79%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 6.24% to 25.11%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 23.67%, vs industry avg of -17.27%",0.026507414,0.333188976,0.859044383,0.743927901,0.036002652,0.443213643,1.317999401,1.090156755,0.02885667,0.175937374,0.973791868,0.920093788,0.03461618,0.116192833,0.662167005,0.532757232,0.560221769,1,0,2,1,1,0,0.833333333,0.99441678,0.946091746,0
5,ABCAPITAL,Aditya Birla Capital Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Avg The stock has a moderate number of red flags,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 30.86%, vs industry avg of 10%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 7.75% to 18.28%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 26.34%, vs industry avg of -17.89%",0.053307472,0.302011536,0.868157692,0.756408769,0.052272728,0.390881511,1.32114268,1.093155984,0.053045798,0.112649671,0.971703204,0.918605337,0.062317839,0.068972101,0.673439805,0.543190589,0.50212119,1,0,2,1,1,0,0.833333333,0.99441678,0.946091746,0
6,ADANIPORTS,Adani Ports and Special Economic Zone Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Avg The stock has a moderate number of red flags,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 14.04%, vs industry avg of 13.24%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 92.64% to 95.93%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 3.86%, vs industry avg of 3.27%",0.042540497,0.422008606,0.959345738,0.842913388,0.042754346,0.499195305,1.371364304,1.144526919,0.038754024,0.279796792,1.054559126,1.013803623,0.050449957,0.197785619,0.741390483,0.60111109,0.521849168,1,0,2,1,1,0,0.833333333,1.991398823,1.643979176,2
7,ABB,ABB India Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 7.38%, vs industry avg of -2.27%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 10.97% to 15.95%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 19.33%, vs industry avg of 38.99%",0.025655412,0.285727742,0.851566407,0.734803688,0.018465872,0.375130105,1.308768803,1.076057815,0.017967074,0.097276484,0.958703571,0.901873551,0.025074388,0.054653806,0.657931386,0.526580118,0.582389571,1,1,2,2,1,0,1.166666667,0.99441678,1.046091746,1
8,ADANIPOWER,Adani Power Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Avg The stock has a moderate number of red flags,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 6.59%, vs industry avg of 8.04%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 16.55% to 15.14%",0.091264398,0.413564778,0.813919268,0.701984742,0.085810642,0.468858621,1.264717867,1.031724998,0.077539521,0.27872045,0.974776004,0.933508901,0.087441789,0.243232028,0.745516153,0.619548641,0.502858599,2,0,2,1,1,0,1,0.99441678,0.996091746,1
9,ADANIENT,Adani Enterprises Ltd, High The creamy layer - amongst the top performing stocks, High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Avg The stock has a moderate number of red flags,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 13.52%, vs industry avg of 10.25%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 45.63% to 53.37%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of -4.7%, vs industry avg of 11.4%",0.143947945,0.321278154,0.863661551,0.735116628,0.136889559,0.420650479,1.325000066,1.090427978,0.112089015,0.137547893,0.967335218,0.909384602,0.194365621,0.104450581,0.652542541,0.519436962,0.605986672,1,1,2,1,2,0,1.166666667,0.99441678,1.046091746,1
10,ABBOTINDIA,Abbott India Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 11.04%, vs industry avg of 7.66%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 1.53% to 1.67%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 23.62%, vs industry avg of 4.09%",0.013127586,0.28859925,0.855861712,0.740662474,0.012967938,0.382348923,1.315369582,1.084888608,0.009930904,0.100425975,0.962366339,0.906175036,0.013788256,0.049928915,0.653040346,0.521709331,0.538709442,1,0,2,2,1,0,1,0.99441678,0.996091746,1
