sNo,Company Name,Full Company Name,sc Performance,sc Valuation,sc Growth,sc Profitability,sc Entry Point,sc Red Flags,Income Statements,2019 Total Revenue,2019 EBITDA,2019 Net Income,2019 PBT,2020 Total Revenue,2020 EBITDA,2020 Net Income,2020 PBT,2021 Total Revenue,2021 EBITDA,2021 Net Income,2021 PBT,2022 Total Revenue,2022 EBITDA,2022 Net Income,2022 PBT,PE Ratio,Entry_point_Sentiment,Growth_Sentiment,Profitability_Sentiment,RedFlag_Sentiment,Performance_Sentiment,Valuation_Sentiment
1,ABFRL,Aditya Birla Fashion and Retail Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 4.41%, vs industry avg of 4.31%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 49.87% to 50.1%","8,182.50",656.10,321.22,149.10,"8,853.16","1,321.91",-163.01,-32.89,"5,322.32",655.29,-672.51,-837.54,"8,239.11","1,241.33",-108.72,-144.93,-522.45,1,0,2,2,0,0
2,AFFLE,Affle (India) Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, High Strong financials and growth story over the years, High Showing good signs of profitability & efficiency,BadThe stock is overpriced and in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 76.78%, vs industry avg of 17.03%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 2.07% to 16.28%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 267.29%, vs industry avg of 20.48%",249.79,70.71,48.82,59.80,339.87,93.98,65.52,79.23,558.00,171.20,134.81,147.92,"1,153.34",284.33,213.90,244.81,55.23,0,2,2,2,0,0
3,AARTIDRUGS,Aarti Drugs Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 15.83%, vs industry avg of 7.66%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 0.62% to 0.84%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 20.18%, vs industry avg of 4.09%","1,567.12",217.09,89.75,131.02,"1,812.04",271.47,141.41,185.30,"2,162.57",445.12,280.41,369.01,"2,499.97",343.92,205.04,269.96,26.20,2,0,2,2,1,0
4,AARTIIND,Aarti Industries Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 17.2%, vs industry avg of 8.74%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 6.74% to 8.43%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 32.86%, vs industry avg of 15.42%","4,169.66",967.19,491.73,621.97,"4,195.15",986.17,536.08,676.18,"4,506.80",982.23,523.47,664.55,"7,000.76","1,929.61","1,307.19","1,526.80",33.66,1,0,2,2,0,0
5,ACC,ACC Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 5.63%, vs industry avg of 13.46%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 7.94% to 6.42%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of -6.82%, vs industry avg of 19.17%","15,990.00","2,745.23","1,377.41","2,052.52","14,011.65","2,404.77","1,430.18","1,708.85","16,370.03","3,161.68","1,862.99","2,506.38","17,656.07","1,597.86",649.44,871.25,70.59,1,0,2,2,0,0
6,ADANIGREEN,Adani Green Energy Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Avg The stock has a moderate number of red flags,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 57.51%, vs industry avg of 4.03%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 2.76% to 21.73%","2,130.99","1,598.47",-473.93,-584.67,"2,629.00","1,339.00",-23.00,-50.00,"3,605.00","2,632.00",210.00,193.00,"5,642.00","4,019.00",489.00,553.00,167.01,1,0,2,1,0,0
7,ADANITRANS,Adani Transmission Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Avg The stock has a moderate number of red flags,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 34.05%, vs industry avg of 3.79%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 6.24% to 25.11%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 23.67%, vs industry avg of -17.27%","7,656.64","3,113.42",559.20,840.24,"11,681.29","4,519.19",741.82,"1,106.68","11,041.74","5,065.77","1,224.04","1,619.90","12,543.94","5,492.59","1,204.61","1,700.49",73.76,1,0,2,1,0,0
8,ABCAPITAL,Aditya Birla Capital Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 30.86%, vs industry avg of 8.8%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 7.76% to 19.31%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 26.34%, vs industry avg of -17.94%","15,397.81","1,438.54",870.94,"1,380.65","16,960.22","1,382.30",919.78,"1,279.74","19,542.19","1,660.14","1,126.54","1,545.69","22,582.25","2,408.63","1,705.97","2,286.72",8.77,1,1,2,2,1,0
9,ADANIPORTS,Adani Ports and Special Economic Zone Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 14.04%, vs industry avg of 13.24%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 92.64% to 95.93%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 3.86%, vs industry avg of 3.27%","12,287.78","7,884.89","3,990.22","5,126.22","13,871.92","7,874.84","3,763.13","4,243.92","14,519.83","10,654.64","4,994.30","6,292.01","18,281.66","10,821.37","4,728.09","5,541.16",29.90,1,0,2,2,1,0
10,ABB,ABB India Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 7.38%, vs industry avg of -2.27%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 10.97% to 15.94%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 19.33%, vs industry avg of 38.99%","7,410.54",563.76,303.40,445.17,"5,991.37",438.13,219.22,293.15,"7,214.96",832.88,519.71,711.49,"9,086.26","1,473.51","1,016.23","1,353.41",99.06,1,1,2,2,1,0
11,AEGISCHEM,Aegis Logistics Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 3.48%, vs industry avg of 9.98%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 11.83% to 8.72%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 24.56%, vs industry avg of 11.58%","5,624.01",379.06,221.39,302.33,"7,216.09",309.40,99.60,207.57,"3,880.33",424.53,223.40,335.62,"4,669.72",573.09,357.51,471.98,26.04,1,1,2,2,1,0
