sNo,Company Name,Full Company Name,sc Performance,sc Valuation,sc Growth,sc Profitability,sc Entry Point,sc Red Flags,Income Statements,2019 Total Revenue,2019 EBITDA,2019 Net Income,2019 PBT,2020 Total Revenue,2020 EBITDA,2020 Net Income,2020 PBT,2021 Total Revenue,2021 EBITDA,2021 Net Income,2021 PBT,2022 Total Revenue,2022 EBITDA,2022 Net Income,2022 PBT,PE Ratio,Entry_point_Sentiment,Growth_Sentiment,Profitability_Sentiment,RedFlag_Sentiment,Performance_Sentiment,Valuation_Sentiment,Sentiment,News Sentiment Score
1.0,ABFRL,Aditya Birla Fashion and Retail Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 4.41%, vs industry avg of 4.31%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 49.87% to 50.1%",8182.50,656.10,321.22,149.10,8853.16,1321.91,-163.01,-32.89,5322.32,655.29,-672.51,-837.54,8239.11,1241.33,-108.72,-144.93,-522.45,1.0,0.0,2.0,2.0,0.0,0.0,0.8333333333333334,0.0
2.0,AFFLE,Affle (India) Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, High Strong financials and growth story over the years, High Showing good signs of profitability & efficiency,BadThe stock is overpriced and in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 76.78%, vs industry avg of 17.03%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 2.07% to 16.28%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 267.29%, vs industry avg of 20.48%",249.79,70.71,48.82,59.80,339.87,93.98,65.52,79.23,558.00,171.20,134.81,147.92,1153.34,284.33,213.90,244.81,55.23,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0
3.0,AARTIDRUGS,Aarti Drugs Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Good The stock is underpriced and is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 15.83%, vs industry avg of 7.66%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 0.62% to 0.84%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 20.18%, vs industry avg of 4.09%",1567.12,217.09,89.75,131.02,1812.04,271.47,141.41,185.30,2162.57,445.12,280.41,369.01,2499.97,343.92,205.04,269.96,26.20,2.0,0.0,2.0,2.0,1.0,0.0,1.1666666666666667,0.0
4.0,AARTIIND,Aarti Industries Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 17.2%, vs industry avg of 8.74%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 6.74% to 8.43%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 32.86%, vs industry avg of 15.42%",4169.66,967.19,491.73,621.97,4195.15,986.17,536.08,676.18,4506.80,982.23,523.47,664.55,7000.76,1929.61,1307.19,1526.80,33.66,1.0,0.0,2.0,2.0,0.0,0.0,0.8333333333333334,0.9982
5.0,ACC,ACC Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 5.63%, vs industry avg of 13.46%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 7.94% to 6.42%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of -6.82%, vs industry avg of 19.17%",15990.00,2745.23,1377.41,2052.52,14011.65,2404.77,1430.18,1708.85,16370.03,3161.68,1862.99,2506.38,17656.07,1597.86,649.44,871.25,70.59,1.0,0.0,2.0,2.0,0.0,0.0,0.8333333333333334,0.9607666666666667
6.0,ADANIGREEN,Adani Green Energy Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Avg The stock has a moderate number of red flags,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 57.51%, vs industry avg of 4.03%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 2.76% to 21.73%",2130.99,1598.47,-473.93,-584.67,2629.00,1339.00,-23.00,-50.00,3605.00,2632.00,210.00,193.00,5642.00,4019.00,489.00,553.00,167.01,1.0,0.0,2.0,1.0,0.0,0.0,0.6666666666666666,0.6369
7.0,ADANITRANS,Adani Transmission Ltd, Low Hasn't faired well - amongst the low performers, High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Avg The stock has a moderate number of red flags,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 34.05%, vs industry avg of 3.79%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 6.24% to 25.11%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 23.67%, vs industry avg of -17.27%",7656.64,3113.42,559.20,840.24,11681.29,4519.19,741.82,1106.68,11041.74,5065.77,1224.04,1619.90,12543.94,5492.59,1204.61,1700.49,73.76,1.0,0.0,2.0,1.0,0.0,0.0,0.6666666666666666,0.16240000000000002
8.0,ABCAPITAL,Aditya Birla Capital Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 30.86%, vs industry avg of 8.8%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 7.76% to 19.31%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 26.34%, vs industry avg of -17.94%",15397.81,1438.54,870.94,1380.65,16960.22,1382.30,919.78,1279.74,19542.19,1660.14,1126.54,1545.69,22582.25,2408.63,1705.97,2286.72,8.77,1.0,1.0,2.0,2.0,1.0,0.0,1.1666666666666667,0.0
9.0,ADANIPORTS,Adani Ports and Special Economic Zone Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Low Lagging behind the market in financials growth, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 14.04%, vs industry avg of 13.24%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 92.64% to 95.93%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 3.86%, vs industry avg of 3.27%",12287.78,7884.89,3990.22,5126.22,13871.92,7874.84,3763.13,4243.92,14519.83,10654.64,4994.30,6292.01,18281.66,10821.37,4728.09,5541.16,29.90,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.9791
10.0,ABB,ABB India Ltd," Avg Price return has been average, nothing exciting", High Seems to be overvalued vs the market average, Avg Financials growth has been moderate for a few years, High Showing good signs of profitability & efficiency, Avg The stock is overpriced but is not in the overbought zone, Low No red flag found,"Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 7.38%, vs industry avg of -2.27%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 10.97% to 15.94%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 19.33%, vs industry avg of 38.99%",7410.54,563.76,303.40,445.17,5991.37,438.13,219.22,293.15,7214.96,832.88,519.71,711.49,9086.26,1473.51,1016.23,1353.41,99.06,1.0,1.0,2.0,2.0,1.0,0.0,1.1666666666666667,0.9904999999999999
