sNo	Company Name	Full Company Name	sc Performance	sc Valuation	sc Growth	sc Profitability	sc Entry Point	sc Red Flags	Income Statements	2019 Total Revenue	2019 EBITDA	2019 Net Income	2019 PBT	2020 Total Revenue	2020 EBITDA	2020 Net Income	2020 PBT	2021 Total Revenue	2021 EBITDA	2021 Net Income	2021 PBT	2022 Total Revenue	2022 EBITDA	2022 Net Income	2022 PBT	PE Ratio
1	ABFRL	Aditya Birla Fashion and Retail Ltd	 Low Hasn't faired well - amongst the low performers	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 4.41%, vs industry avg of 4.31%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 49.87% to 50.1%	8,182.50	656.10	321.22	149.10	8,853.16	1,321.91	-163.01	-32.89	5,322.32	655.29	-672.51	-837.54	8,239.11	1,241.33	-108.72	-144.93	-542.90
2	ACC	ACC Ltd	 Low Hasn't faired well - amongst the low performers	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 5.63%, vs industry avg of 13.46%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 7.94% to 6.42%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of -6.82%, vs industry avg of 19.17%	15,990.00	2,745.23	1,377.41	2,052.52	14,011.65	2,404.77	1,430.18	1,708.85	16,370.03	3,161.68	1,862.99	2,506.38	17,656.07	1,597.86	649.44	871.25	71.32
3	ADANIGREEN	Adani Green Energy Ltd	 Low Hasn't faired well - amongst the low performers	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Avg The stock has a moderate number of red flags	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 57.51%, vs industry avg of 4.03%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 2.76% to 21.73%	2,130.99	1,598.47	-473.93	-584.67	2,629.00	1,339.00	-23.00	-50.00	3,605.00	2,632.00	210.00	193.00	5,642.00	4,019.00	489.00	553.00	171.90
4	ADANITRANS	Adani Transmission Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Avg The stock has a moderate number of red flags	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 34.05%, vs industry avg of 3.79%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 6.24% to 25.11%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 23.67%, vs industry avg of -17.27%	7,656.64	3,113.42	559.20	840.24	11,681.29	4,519.19	741.82	1,106.68	11,041.74	5,065.77	1,224.04	1,619.90	12,543.94	5,492.59	1,204.61	1,700.49	72.47
5	ABCAPITAL	Aditya Birla Capital Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Avg The stock has a moderate number of red flags	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 30.86%, vs industry avg of 10%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 7.75% to 18.28%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 26.34%, vs industry avg of -17.89%	15,397.81	1,438.54	870.94	1,380.65	16,960.22	1,382.30	919.78	1,279.74	19,542.19	1,660.14	1,126.54	1,545.69	22,582.25	2,408.63	1,705.97	2,286.72	8.65
6	ADANIPORTS	Adani Ports and Special Economic Zone Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Avg The stock has a moderate number of red flags	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 14.04%, vs industry avg of 13.24%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 92.64% to 95.93%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 3.86%, vs industry avg of 3.27%	12,287.78	7,884.89	3,990.22	5,126.22	13,871.92	7,874.84	3,763.13	4,243.92	14,519.83	10,654.64	4,994.30	6,292.01	18,281.66	10,821.37	4,728.09	5,541.16	30.32
7	ABB	ABB India Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 7.38%, vs industry avg of -2.27%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 10.97% to 15.95%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 19.33%, vs industry avg of 38.99%	7,410.54	563.76	303.40	445.17	5,991.37	438.13	219.22	293.15	7,214.96	832.88	519.71	711.49	9,086.26	1,473.51	1,016.23	1,353.41	96.82
8	ADANIPOWER	Adani Power Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Good The stock is underpriced and is not in the overbought zone	 Avg The stock has a moderate number of red flags	Lower than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 6.59%, vs industry avg of 8.04%Decreasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share decreased from 16.55% to 15.14%	26,361.63	7,431.28	-984.40	-975.86	27,841.81	6,056.40	-2,274.77	-2,264.92	28,149.68	10,596.72	1,269.98	2,288.74	31,686.47	13,789.45	4,911.58	6,577.13	9.46
9	ADANIENT	Adani Enterprises Ltd	 High The creamy layer - amongst the top performing stocks	 High Seems to be overvalued vs the market average	 Avg Financials growth has been moderate for a few years	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Avg The stock has a moderate number of red flags	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 13.52%, vs industry avg of 10.25%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 45.63% to 53.37%Lower than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of -4.7%, vs industry avg of 11.4%	41,579.22	2,473.56	717.14	458.72	44,414.69	3,166.71	1,138.17	1,122.33	40,290.93	2,999.96	922.64	1,085.97	70,432.69	4,725.71	776.56	952.05	122.74
10	ABBOTINDIA	Abbott India Ltd	 Avg Price return has been average, nothing exciting	 High Seems to be overvalued vs the market average	 Low Lagging behind the market in financials growth	 High Showing good signs of profitability & efficiency	 Avg The stock is overpriced but is not in the overbought zone	 Low No red flag found	Higher than Industry Revenue GrowthA higher-than-industry revenue growth represents increased potential for the company to increase their market shareOver the last 5 years, revenue has grown at a yearly rate of 11.04%, vs industry avg of 7.66%Increasing Market ShareMarket share is the percentage of an industry's total sales going to a particular company. It gives a general idea of the size of a company v/s its competitorsOver the last 5 years, market share increased from 1.53% to 1.67%Higher than Industry Net IncomeNet income is equal to net earnings (profit) less expenses. This number is an important measure of how profitable the company isOver the last 5 years, net income has grown at a yearly rate of 23.62%, vs industry avg of 4.09%	3,791.89	718.02	450.33	698.85	4,207.53	870.84	592.93	802.70	4,390.92	1,002.36	690.69	925.95	4,996.48	1,164.93	798.70	1,079.73	48.84
