sNo	Company Name	Full Company Name	News Title	News Article	News Summary	NewsDate
2	ACC	ACC Ltd	Days after Balasore accident, goods train derails near Adani Group-owned ACC’s plant in Odisha’s Bargarh	"Several wagons of a goods train carrying limestone on Monday derailed near Sambardharan in Odisha’s Bargarh district. The train was headed from Bargarh to Dunguri at the time of the incident. Police has already reached the spot and begun its investigation.

No casualty has been reported so far, as per India Today. There is a private narrow gauge rail line between the Dungri limestone mines and the cement plant of Bargarh. The lines, wagons, and loco are private and not connected with the Indian Railways system.

Commenting on the incident, the East Coast Railway (ECR) said that the goods train was operated by a private cement factory and it derailed inside the factory premises. The ECR further noted that Railways has no role in this matter.

The ECR said: ""Some wagons of a goods train operated by a private cement factory derailed inside the factory premises near Mendhapali of Bargarh district in Odisha. There is no role of Railways in this matter"".

#WATCH | Some wagons of a goods train operated by a private cement factory derailed inside the factory premises near Mendhapali of Bargarh district in Odisha. There is no role of Railways in this matter: East Coast Railway pic.twitter.com/x6pJ3H9DRC — ANI (@ANI) June 5, 2023

""This is completely a narrow gauge siding of a private cement company. All the infrastructure including rolling stock, engine, wagons, train tracks (narrow gauge) are being maintained by the company,"" it added.

The site of the accident is located between Dungri Limestone mines and the plant of the Adani Group-owned ACC Cement, as per Indian Railways.

The incident took place three days after the dastardly Balasore train crash on Friday claimed at least 275 lives and left over 1,100 people injured. The train crash involved three trains—Bengaluru-Howrah Superfast Express, Shalimar-Chennai Coromandel Express and a goods train.

The Bengaluru-Howrah Superfast Express and Shalimar-Chennai Coromandel Express were carrying 2,500 passengers at the time of the incident.

(With India Today inputs)"	"Several wagons of a goods train carrying limestone on Monday derailed near Sambardharan in Odisha’s Bargarh district.
The ECR said: ""Some wagons of a goods train operated by a private cement factory derailed inside the factory premises near Mendhapali of Bargarh district in Odisha.
#WATCH | Some wagons of a goods train operated by a private cement factory derailed inside the factory premises near Mendhapali of Bargarh district in Odisha.
All the infrastructure including rolling stock, engine, wagons, train tracks (narrow gauge) are being maintained by the company,"" it added.
The train crash involved three trains—Bengaluru-Howrah Superfast Express, Shalimar-Chennai Coromandel Express and a goods train."	6 hours ago
2	ACC	ACC Ltd	No connections with any Indian Railways routes, says Adani Group after its private wagons derail in Odisha	"A goods train derailed on a private narrow gauge rail line in Odisha's Bargarh district on Monday, days after a horrific three-train accident in Balasore led to 275 deaths.

The site of the accident is located between Dungri Limestone mines and the plant of the Adani Group-owned ACC Cement, as per Indian Railways.

Meanwhile, Adani Group on Monday said in a statement that the captive rail line on which Adani Group-owned ACC Ltd's wagons derailed in Odisha's Bargarh is solely for industrial use and is not connected to any routes of the Indian Railways.There have been no disruptions to any Indian Railways routes.

ACC Ltd, part of the Adani Group, runs a dedicated railway line in Bargarh for transportation of limestone. The company also said in a statement that the ACC Cement's operations remain unaffected.

""Earlier today, on 5th June 2023, at approximately 6:30 am, one of our wagons carrying limestone from Dunguri mines to the Bargarh cement plant derailed,"" the ACC statement said.

The maintenance team is working tirelessly to restore the rail line as quickly as possible, the statement said.

""It's important to note that this captive rail line is solely for industrial use and is not connected to any routes of the Indian Railways. As a result, there are no disruptions to any Indian Railways routes,"" it added.

The incident took place three days after the dastardly Balasore train crash on Friday claimed at least 275 lives and left over 1,100 people injured. The train crash involved three trains—Bengaluru-Howrah Superfast Express, Shalimar-Chennai Coromandel Express and a goods train.

The Bengaluru-Howrah Superfast Express and Shalimar-Chennai Coromandel Express were carrying 2,500 passengers at the time of the incident.

Also Read: Adani Group completes $2.65-bn deleveraging programme, sees improvement in debt metrics in FY23"	"The site of the accident is located between Dungri Limestone mines and the plant of the Adani Group-owned ACC Cement, as per Indian Railways.
ACC Ltd, part of the Adani Group, runs a dedicated railway line in Bargarh for transportation of limestone.
The maintenance team is working tirelessly to restore the rail line as quickly as possible, the statement said.
""It's important to note that this captive rail line is solely for industrial use and is not connected to any routes of the Indian Railways.
As a result, there are no disruptions to any Indian Railways routes,"" it added."	6 hours ago
2	ACC	ACC Ltd	Tata To Build $1.6 Billion Indian EV Battery Plant In Gujarat	"Tata to Build $1.6 Billion Indian EV Battery Plant, Gujarat Says

Tata Agaratas Energy Storage Solutions Pvt., a subsidiary of Tata Group, signed a memorandum of understanding on Friday to establish an electric-vehicle battery plant that will have a production capacity of 20 gigawatt hours, generating direct and indirect employment for more than 13,000 people, according to a state government document posted on its website."	Tata to Build $1.6 Billion Indian EV Battery Plant, Gujarat SaysTata Agaratas Energy Storage Solutions Pvt., a subsidiary of Tata Group, signed a memorandum of understanding on Friday to establish an electric-vehicle battery plant that will have a production capacity of 20 gigawatt hours, generating direct and indirect employment for more than 13,000 people, according to a state government document posted on its website.	1 day ago
3	ADANIGREEN	Adani Green Energy Ltd	Stocks To Watch on 1 June, 2023: Cipla, Adani Ports, Adani Green Energy, HDFC Life Insurance, Cipla, Coal India, Vedanta | The Financial Express	"Stocks in focus: The SGX Nifty lost 0.37% in trade on Thursday morning, signaling that domestic indices NSE Nifty 50 and BSE Sensex would open on a negative basis, continuing to extend losses after snapping a four-day winning streak on Wednesday. Nifty futures were 69 points lower on the Singaporean exchange at 18,595. Benchmark indices NSE Nifty 50 and BSE Sensex ended Wednesday’s session in the red. Nifty 50 fell almost 100 points to 18,534 and Sensex plunged 346.89 points to 62,622.

“As indicated by multiple economic data points, the Indian economy is presently experiencing a robust recovery, leading to an upward trend in domestic equity markets. However, the rally is being hindered at times due to negative signals from global peers, as observed today. Concerns about a recession and potential interest rate hikes in western markets are impacting the domestic market but it is nevertheless maintaining the outperformance,” said Vinod Nair, Head of Research, Geojit Financial Services.

Stocks to Watch on 1 June, 2023

Adani Ports

Deloitte sounded the alarm on the lack of sufficient disclosures from Adani Ports & Special Economic Zone regarding its transactions with various entities. Deloitte further added that it cannot comment if Adani Ports was fully compliant with domestic laws.

Vedanta

Vedanta parent Vedanta Resources reduced its gross debt to $6.4 billion by paying loans and bonds worth $400 million maturing in May and June.

Coal India

The government proposed to sell up to 3% stake in Coal India through the offer for sale route from 1 June. At the closing price of Rs 241.20 apiece on BSE, the sale of 3% stake in Coal India would be worth around Rs 4,400 crore.

Adani Green Energy

After Adani Enterprises and Adani Transmission approved fundraising measures, Adani Green Energy, that saw its board meeting to approve fundraising canceled, will consider raising an additional $1 billion within the next few weeks.

Cipla

Cipla announced that the sale of their stake held in Cipla Quality Chemical Industries, step-down subsidiary in Uganda, is expected to be completed on or before 31 July.

HDFC Life Insurance

abrdn, a promoter in HDFC Life Insurance, has undertaken a sale of 3,56,94,105 equity shares (representing approximately 1.66% of the total issued and paid‐up equity share capital) at an average price of Rs. 570.60 per equity share. After the sale, abrdn will hold no shares in HDFC Life Insurace."	"Nifty 50 fell almost 100 points to 18,534 and Sensex plunged 346.89 points to 62,622.
“As indicated by multiple economic data points, the Indian economy is presently experiencing a robust recovery, leading to an upward trend in domestic equity markets.
Coal IndiaThe government proposed to sell up to 3% stake in Coal India through the offer for sale route from 1 June.
At the closing price of Rs 241.20 apiece on BSE, the sale of 3% stake in Coal India would be worth around Rs 4,400 crore.
Adani Green EnergyAfter Adani Enterprises and Adani Transmission approved fundraising measures, Adani Green Energy, that saw its board meeting to approve fundraising canceled, will consider raising an additional $1 billion within the next few weeks."	4 days ago
3	ADANIGREEN	Adani Green Energy Ltd	Adani Green Energy to meet in June to approve raising $750-850 m	"Adani Green Energy’s board is expected to meet next month to approve a share sale to raise between $750-850 million, taking the total proposed fundraising by the group to about $3.4 billion.

Two other group companies — Adani Transmission and Adani Enterprises — have already obtained board approval to raise ₹21,000 crore (roughly $2.5 billion) through qualified institutional placements. The meeting for shareholders’ approval is scheduled for the middle of June, after which the fundraising will take place.

The board of Adani Green was scheduled to meet last week but it was cancelled owing to the non-availability of independent directors.

Big fundraises

This is the second big fundraising exercise by the group after the damaging allegations by short seller hedge fund Hindenburg Research, that led to Adani Enterprises having to scrap its ₹20,000-crore follow-on public offer in February with retail investors staying away from subscribing to it.

Subsequently in March, the group, in firefighting mode and in dire need of funds, sold small chunks of promoter stake in four group companies to US-based growth equity fund GQG Partners to raise over ₹15,000 crore. Reports have suggested that GQG Partners has pumped in about $500 million more in acquiring shares in Adani stocks recently, but it was not clear whether these were secondary market purchases.

With a debt burden in excess of $20 billion, maturing debt to be serviced stretching over the next several years and expansion plans already charted out, the group needs funds on several counts.

Stronger position

Financially and in terms of perception, the group is in a stronger position now than it was previously with all the companies in the group showing healthy growth. It has managed to repay short-term, high-cost debt while also reducing pledged promoter stake in group companies.

It is investing in new energies and building a large-scale solar generation capacity in the country. Its intention is to be the largest player in the infrastructure sector after the government. It is working towards getting its group companies to a stage where there is little day-to-day strategic input from promoters. The ports and power businesses are expected to get there soon."	"Adani Green Energy’s board is expected to meet next month to approve a share sale to raise between $750-850 million, taking the total proposed fundraising by the group to about $3.4 billion.
Two other group companies — Adani Transmission and Adani Enterprises — have already obtained board approval to raise ₹21,000 crore (roughly $2.5 billion) through qualified institutional placements.
The board of Adani Green was scheduled to meet last week but it was cancelled owing to the non-availability of independent directors.
It has managed to repay short-term, high-cost debt while also reducing pledged promoter stake in group companies.
It is working towards getting its group companies to a stage where there is little day-to-day strategic input from promoters."	5 days ago
3	ADANIGREEN	Adani Green Energy Ltd	Adani to raise $3.5 bn from share sale in three group cos	Billionaire Gautam Adani 's conglomerate is looking to raise about USD 3 billion through an equity share sale to institutional investors in the boldest comeback strategy after the ports-to-energy group was hit by a damning report of a US short seller. While boards of Adani Enterprises Ltd - the group's flagship firm - and electricity transmission company Adani Transmission Ltd have already approved raising up to Rs 21,000 crore (over USD 2.5 billion) through share sales to qualified institutional investors, the board of Adani Green Energy Ltd is likely to do so for raising up to USD 1 billion in the next couple of weeks, sources aware of the matter said.Post-board approvals, Adani Enterprises Ltd and Adani Transmission Ltd have sought shareholder approval.Adani Green Energy Ltd's board may meet in the first or second week of June for approving the fundraising, they said.The entire fundraising of USD 3.5 billion, which would go to fund the capital expenditure needs of the group, is likely to be completed within the second quarter (July-September) of the current fiscal.The fundraising will be through the issue of shares to qualified institutional buyers.The sources aware of the matter said investors in Europe and the Middle East have evinced strong interest.Some of the existing investors are likely to subscribe to the offer and some new investors may also join in, according to the sources.GQG Partners, which invested USD 1.87 billion in four Adani group companies in the first week of March, too may join, demonstrating the investor's continued interest in the conglomerate.The sources said investors continue to believe in the Adani growth story and have evinced interest in putting in more money in the group.The fundraising was finalised after extensive roadshows abroad with a range of financial institutions and other investors.This comes three months after Adani Enterprises was forced to abort a Rs 20,000 crore follow-on public offering (FPO) in the wake of the Hindenburg report.The offer was fully subscribed but the company returned the money to subscribers.The sources said the company stock, which was offered in the price range of Rs 3,112 to Rs 3,276 in the FPO, is now available at Rs 2,494.25 (at Wednesday's closing price).US short-seller Hindenburg Research in January released a damning report alleging accounting fraud and stock price manipulation at Adani Group, triggering a stock market rout that had erased about USD 145 billion in the conglomerate's market value at its lowest point.Adani Group has denied all allegations by Hindenburg and is plotting a comeback strategy. The group has recast its ambitions as well as prepaid some loans to assuage investors.Promoters in March sold stakes worth Rs 15,446 crore in four group companies to leading US-based global equity investment boutique GQG Partners.The group has been trying to win back market confidence with a series of investor roadshows, early debt repayments and plans to scale back its pace of spending on new projects.The funds that Adani Group is looking to raise will be the conglomerate's biggest borrowing since the January 24 Hindenburg report. The money raised is intended to be used for funding the group's expansion projects.	"Billionaire Gautam Adani 's conglomerate is looking to raise about USD 3 billion through an equity share sale to institutional investors in the boldest comeback strategy after the ports-to-energy group was hit by a damning report of a US short seller.
While boards of Adani Enterprises Ltd - the group's flagship firm - and electricity transmission company Adani Transmission Ltd have already approved raising up to Rs 21,000 crore (over USD 2.5 billion) through share sales to qualified institutional investors, the board of Adani Green Energy Ltd is likely to do so for raising up to USD 1 billion in the next couple of weeks, sources aware of the matter said.Post-board approvals, Adani Enterprises Ltd and Adani Transmission Ltd have sought shareholder approval.Adani Green Energy Ltd's board may meet in the first or second week of June for approving the fundraising, they said.The entire fundraising of USD 3.5 billion, which would go to fund the capital expenditure needs of the group, is likely to be completed within the second quarter (July-September) of the current fiscal.The fundraising will be through the issue of shares to qualified institutional buyers.The sources aware of the matter said investors in Europe and the Middle East have evinced strong interest.Some of the existing investors are likely to subscribe to the offer and some new investors may also join in, according to the sources.GQG Partners, which invested USD 1.87 billion in four Adani group companies in the first week of March, too may join, demonstrating the investor's continued interest in the conglomerate.The sources said investors continue to believe in the Adani growth story and have evinced interest in putting in more money in the group.The fundraising was finalised after extensive roadshows abroad with a range of financial institutions and other investors.This comes three months after Adani Enterprises was forced to abort a Rs 20,000 crore follow-on public offering (FPO) in the wake of the Hindenburg report.The offer was fully subscribed but the company returned the money to subscribers.The sources said the company stock, which was offered in the price range of Rs 3,112 to Rs 3,276 in the FPO, is now available at Rs 2,494.25 (at Wednesday's closing price).US short-seller Hindenburg Research in January released a damning report alleging accounting fraud and stock price manipulation at Adani Group, triggering a stock market rout that had erased about USD 145 billion in the conglomerate's market value at its lowest point.Adani Group has denied all allegations by Hindenburg and is plotting a comeback strategy.
The group has recast its ambitions as well as prepaid some loans to assuage investors.Promoters in March sold stakes worth Rs 15,446 crore in four group companies to leading US-based global equity investment boutique GQG Partners.The group has been trying to win back market confidence with a series of investor roadshows, early debt repayments and plans to scale back its pace of spending on new projects.The funds that Adani Group is looking to raise will be the conglomerate's biggest borrowing since the January 24 Hindenburg report.
The money raised is intended to be used for funding the group's expansion projects."	5 days ago
4	ADANITRANS	Adani Transmission Ltd	Adani Transmission, Adani Total resume fall, slip up to 4% today; here’s what tech charts hint	"Shares of Adani Transmission Ltd and Adani Total Gas Ltd slipped back into the red in Friday's trade. The fresh weakness in the two stocks came just a day after their scheduled exit from MSCI Global Standard Index. Adani Transmission and Adani Total were deleted from MSCI global index on June 1, the global equity index said.

Shares of Adani Transmission fell 3.08 per cent to hit a day low of Rs 791.30 over its previous close of Rs 816.40. On a year-to-date (YTD) basis, the stock has lost 68.76 per cent. On the technical setup, the stock was last seen trading lower than the 5-day, 20-, 50-, 100- and 200-day moving averages. The counter's 14-day relative strength index (RSI) came at 39.98. A level below 30 is defined as oversold while a value above 70 is considered overbought. The company's stock has a price-to-earnings (P/E) ratio of 486.82. It has a price-to-book (P/B) value of 8.95.

The scrip has a one-year beta of 1.29, indicating high volatility on the counter.

Five out of 10 listed Adani stocks were seen trading lower today. Group's flagship firm Adani Enterprises slipped 2.67 per cent to hit a day low of Rs 2,425.80 after it decided to terminate the share purchase agreement with MAIF Investments. Adani Wilmar and Adani Green Energy fell a per cent, each.

Adani shares saw a massive market value erosion since January 24, when US-based short seller Hindenburg Research released a report alleging stock manipulation and accounting fraud by the Gautam Adani-led conglomerate. Adani Group, however, denied all the allegations. The stocks later staged a strong comeback after US boutique investment firm GQG Partners announced a cumulative investment in four Adani firms.

In the case of Adani Total, shares dropped 3.73 per cent to hit a day low of Rs 668. The counter has lost 80.93 per cent so far this year. The stock was last seen trading lower than the 5-day, 20-, 50-, 100- and 200-day moving averages. The counter's 14-day RSI came at 35.37. The company's stock has a P/E ratio of 144.04. It has a P/B value of 25.98.

The scrip has a one-year beta of 1.49, indicating high volatility. And, support on the counter could be seen at Rs 620, followed by Rs 600 levels.

""Adani Total looks bearish but also oversold on the daily charts with next support now at Rs 620. Investors should buy only if a daily close is above the resistance of Rs 710 for higher targets of Rs 854-1,040 in the near term,"" said AR Ramachandran from Tips2trades said.

""It is better to take an exit if the stock price does not sustain at Rs 600 levels. If the price shows sustainability at the Rs 600 range, then expected targets are between Rs 800 and Rs 1,000,"" said VLA Ambala, Research Analyst at Stock Market Today.

In a separate development, Adani plans to raise about $3.50 billion through an equity share sale to institutional investors, news agency PTI reported citing sources. The entire fundraising, which would go to fund the capital expenditure needs of the group, is likely to be completed within the second quarter (July-September) of the current fiscal (Q2 FY24), the report further mentioned.

Meanwhile, Indian equity benchmarks traded higher in afternoon deals today, led by gains in banks, financials, metals, consumer and automobile stocks.

Also read: Hero MotoCorp, Tata Motors, Eicher Motors, Ashok Leyland: Auto stocks that analysts like post May sales data

Also read: Coal India shares: OFS opens for retail investors today; here are stock price targets"	"Shares of Adani Transmission Ltd and Adani Total Gas Ltd slipped back into the red in Friday's trade.
Adani Transmission and Adani Total were deleted from MSCI global index on June 1, the global equity index said.
Five out of 10 listed Adani stocks were seen trading lower today.
In the case of Adani Total, shares dropped 3.73 per cent to hit a day low of Rs 668.
""Adani Total looks bearish but also oversold on the daily charts with next support now at Rs 620."	3 days ago
4	ADANITRANS	Adani Transmission Ltd	These two Adani Group stocks hit upper circuits despite MSCI exclusion	"Shares of two Adani Group companies -- Adani Transmission Ltd and Adani Total Gas Ltd -- rebounded in Thursday's trade and touched their respective upper price bands. The fresh upward move in the two stocks came despite their scheduled exit from MSCI Global Standard Index. Adani Transmission and Adani Total would be deleted from MSCI global index with effect from June 1, the global equity index said.

Shares of Adani Transmission rose 5 per cent to hit a day high of Rs 816.40 over its previous close of Rs 777.55, halting their five-day fall. Yet, on a year-to-date (YTD) basis, the stock has lost 67.98 per cent. On the technical setup, the stock was last seen trading lower than the 5-day, 20-, 50-, 100- and 200-day moving averages. The counter's 14-day relative strength index (RSI) came at 42.07. A level below 30 is defined as oversold while a value above 70 is considered overbought. The company's stock has a price-to-earnings (P/E) ratio of 463.65. It has a price-to-book (P/B) value of 8.53.

Watch: Reliance Jio Chairman Akash Ambani, Shloka Mehta blessed with their second child, a baby girl. Know about Mukesh Ambani’s grandchildren Prithvi Akash Ambani, Krishna and Aadiya

The scrip has a one-year beta of 1.31, indicating high volatility on the counter.

A majority of Adani stocks were seen trading on a positive note today. Adani shares saw a massive market value erosion since January 24, when US-based short seller Hindenburg Research released a report alleging stock manipulation and accounting fraud by the Gautam Adani-led conglomerate. Adani Group, however, denied all the allegations. The stocks later staged a strong comeback after US boutique investment firm GQG Partners announced a cumulative investment in four Adani firms.

In the case of Adani Total, the shares climbed in the same quantum (5 per cent) to hit the upper circuit of Rs 698.35, pausing their four-day losing run. That said, the counter has lost 80.42 per cent so far this year. The stock was last seen trading lower than the 5-day, 20-, 50-, 100- and 200-day moving averages. The counter's 14-day RSI came at 36.99. The company's stock has a P/E ratio of 138.06. It has a P/B value of 24.90.

The scrip has a one-year beta of 1.53, indicating high volatility.

In a separate development, Adani plans to raise about $3.50 billion through an equity share sale to institutional investors, news agency PTI reported citing sources. The entire fundraising, which would go to fund the capital expenditure needs of the group, is likely to be completed within the second quarter (July-September) of the current fiscal (Q2 FY24), the report further mentioned.

Meanwhile, Indian equity benchmarks traded slightly lower in afternoon deals today, dragged by banks and financials."	"Shares of two Adani Group companies -- Adani Transmission Ltd and Adani Total Gas Ltd -- rebounded in Thursday's trade and touched their respective upper price bands.
Adani Transmission and Adani Total would be deleted from MSCI global index with effect from June 1, the global equity index said.
Shares of Adani Transmission rose 5 per cent to hit a day high of Rs 816.40 over its previous close of Rs 777.55, halting their five-day fall.
A majority of Adani stocks were seen trading on a positive note today.
In the case of Adani Total, the shares climbed in the same quantum (5 per cent) to hit the upper circuit of Rs 698.35, pausing their four-day losing run."	4 days ago
4	ADANITRANS	Adani Transmission Ltd	Gautam Adani to raise $3.5 billion from share sale in three group companies	Billionaire Gautam Adani 's conglomerate is looking to raise about USD 3 billion through an equity share sale to institutional investors in the boldest comeback strategy after the ports-to-energy group was hit by a damning report of a US short seller. While boards of Adani Enterprises Ltd - the group's flagship firm - and electricity transmission company Adani Transmission Ltd have already approved raising up to Rs 21,000 crore (over USD 2.5 billion) through share sales to qualified institutional investors, the board of Adani Green Energy Ltd is likely to do so for raising up to USD 1 billion in the next couple of weeks, sources aware of the matter said.Post-board approvals, Adani Enterprises Ltd and Adani Transmission Ltd have sought shareholder approval.Adani Green Energy Ltd's board may meet in the first or second week of June for approving the fundraising, they said.The entire fundraising of USD 3.5 billion, which would go to fund the capital expenditure needs of the group, is likely to be completed within the second quarter (July-September) of the current fiscal.The fundraising will be through the issue of shares to qualified institutional buyers.The sources aware of the matter said investors in Europe and the Middle East have evinced strong interest.Some of the existing investors are likely to subscribe to the offer and some new investors may also join in, according to the sources. GQG Partners , which invested USD 1.87 billion in four Adani group companies in the first week of March, too may join, demonstrating the investor's continued interest in the conglomerate.The sources said investors continue to believe in the Adani growth story and have evinced interest in putting in more money in the group.The fundraising was finalised after extensive roadshows abroad with a range of financial institutions and other investors.This comes three months after Adani Enterprises was forced to abort a Rs 20,000 crore follow-on public offering (FPO) in the wake of the Hindenburg report.The offer was fully subscribed but the company returned the money to subscribers.The sources said the company stock, which was offered in the price range of Rs 3,112 to Rs 3,276 in the FPO, is now available at Rs 2,494.25 (at Wednesday's closing price).US short-seller Hindenburg Research in January released a damning report alleging accounting fraud and stock price manipulation at Adani Group, triggering a stock market rout that had erased about USD 145 billion in the conglomerate's market value at its lowest point.Adani Group has denied all allegations by Hindenburg and is plotting a comeback strategy. The group has recast its ambitions as well as prepaid some loans to assuage investors.Promoters in March sold stakes worth Rs 15,446 crore in four group companies to leading US-based global equity investment boutique GQG Partners.The group has been trying to win back market confidence with a series of investor roadshows, early debt repayments and plans to scale back its pace of spending on new projects.The funds that Adani Group is looking to raise will be the conglomerate's biggest borrowing since the January 24 Hindenburg report. The money raised is intended to be used for funding the group's expansion projects.	"Billionaire Gautam Adani 's conglomerate is looking to raise about USD 3 billion through an equity share sale to institutional investors in the boldest comeback strategy after the ports-to-energy group was hit by a damning report of a US short seller.
While boards of Adani Enterprises Ltd - the group's flagship firm - and electricity transmission company Adani Transmission Ltd have already approved raising up to Rs 21,000 crore (over USD 2.5 billion) through share sales to qualified institutional investors, the board of Adani Green Energy Ltd is likely to do so for raising up to USD 1 billion in the next couple of weeks, sources aware of the matter said.Post-board approvals, Adani Enterprises Ltd and Adani Transmission Ltd have sought shareholder approval.Adani Green Energy Ltd's board may meet in the first or second week of June for approving the fundraising, they said.The entire fundraising of USD 3.5 billion, which would go to fund the capital expenditure needs of the group, is likely to be completed within the second quarter (July-September) of the current fiscal.The fundraising will be through the issue of shares to qualified institutional buyers.The sources aware of the matter said investors in Europe and the Middle East have evinced strong interest.Some of the existing investors are likely to subscribe to the offer and some new investors may also join in, according to the sources.
GQG Partners , which invested USD 1.87 billion in four Adani group companies in the first week of March, too may join, demonstrating the investor's continued interest in the conglomerate.The sources said investors continue to believe in the Adani growth story and have evinced interest in putting in more money in the group.The fundraising was finalised after extensive roadshows abroad with a range of financial institutions and other investors.This comes three months after Adani Enterprises was forced to abort a Rs 20,000 crore follow-on public offering (FPO) in the wake of the Hindenburg report.The offer was fully subscribed but the company returned the money to subscribers.The sources said the company stock, which was offered in the price range of Rs 3,112 to Rs 3,276 in the FPO, is now available at Rs 2,494.25 (at Wednesday's closing price).US short-seller Hindenburg Research in January released a damning report alleging accounting fraud and stock price manipulation at Adani Group, triggering a stock market rout that had erased about USD 145 billion in the conglomerate's market value at its lowest point.Adani Group has denied all allegations by Hindenburg and is plotting a comeback strategy.
The group has recast its ambitions as well as prepaid some loans to assuage investors.Promoters in March sold stakes worth Rs 15,446 crore in four group companies to leading US-based global equity investment boutique GQG Partners.The group has been trying to win back market confidence with a series of investor roadshows, early debt repayments and plans to scale back its pace of spending on new projects.The funds that Adani Group is looking to raise will be the conglomerate's biggest borrowing since the January 24 Hindenburg report.
The money raised is intended to be used for funding the group's expansion projects."	5 days ago
5	ABCAPITAL	Aditya Birla Capital Ltd	Adani Enterprises, IndusInd Bank, Infosys, Tata Motors among stocks to watch out for today	"Domestic benchmark indices ended lower on Thursday amid weak global cues. BSE Sensex dropped 193.70 points, or 0.31 per cent, to settle at 62,428.54, while NSE's Nifty50 declined 46.65 points, or 0.25 per cent, to end the session at 18,487.75 for the day.

Here’s a look at stocks that are likely to remain in news today.

Adani Enterprises

Adani Enterprises will be moved out of the short-term additional surveillance framework from June 2, according to a circular by the stock exchanges.

Info Edge

Info Edge's subsidiary AIPL has given out a loan of Rs 288 crore to a broker network company 4B Networks. The loan is currently impaired. AIPL has initiated a forensic audit into the affairs of 4B Networks.

IndusInd Bank, Infosys

Shares of IndusInd Bank and Infosys will be in focus as the companies will go ex-dividend today.

AstraZeneca Pharma

AstraZeneca Pharma India Limited has received permission from CDSCO in form CT20 to import for sale and distribution of Tremelimumab (Imjudo) Concentrate in India.

Aditya Birla Capital

Aditya Birla Capital Board has cleared preferential issuance of Rs 1,250 crore to its Promoter and Promoter group entity, out of the total approved equity fund raise of up to Rs 3,000 crore.

Tata Motors

The Tata Group company has sold 74,973 units of commercial and passenger vehicles in May 2023, falling 1.6% from 76,210 units in May 2022. Domestic sales declined 2% YoY to 73,448 units, but exports grew by 4.8% to 1,525 units in same period.

Maruti Suzuki

The country's largest car maker logged production of 1.8 lakh vehicles in May 2023, rising 9.3% over 1.64 lakh units produced in May 2022. Passenger vehicle production stood at 1.76 lakh units, rising 9.8% over same month last year.

Affle India

The technology company said its wholly owned Singapore subsidiary Affle International Pte Ltd (AINT) has completed 100% acquisition of YouAppi Inc.

Paras Defence and Space Technologies

The company has inked a joint venture agreement with Israel-based CONTROP Precision Technologies. Both will undertake business of manufacturing, implementation/installation, integrated logistics support, after sale support, training etc., in the electro optic (EO)/infra-red (IR) field in accordance with the Government of India’s Make in India initiative. Paras will hold 30% stake in joint venture and the rest 70% is held by CONTROP.

GAIL India

The natural gas company has infused Rs 2,101 crore, comprising Rs 625 crore equity and Rs 1,476.00 crore debt, towards total resolution plan amount in JBF Petrochemicals. Accordingly, JBF Petrochemicals has become a wholly-owned subsidiary of GAIL with effect from June 1, 2023.

Also read: Infosys dividend history, stock movement, share price targets & more

Also read: Infosys, IndusInd Bank, Mahindra CIE, JSW Energy, Page Industries shares to turn ex-dividend today"	"IndusInd Bank, InfosysShares of IndusInd Bank and Infosys will be in focus as the companies will go ex-dividend today.
Maruti SuzukiThe country's largest car maker logged production of 1.8 lakh vehicles in May 2023, rising 9.3% over 1.64 lakh units produced in May 2022.
Passenger vehicle production stood at 1.76 lakh units, rising 9.8% over same month last year.
GAIL IndiaThe natural gas company has infused Rs 2,101 crore, comprising Rs 625 crore equity and Rs 1,476.00 crore debt, towards total resolution plan amount in JBF Petrochemicals.
Also read: Infosys dividend history, stock movement, share price targets & moreAlso read: Infosys, IndusInd Bank, Mahindra CIE, JSW Energy, Page Industries shares to turn ex-dividend today"	3 days ago
